case_id,discovery_engine,source_platform,source_url,crawled_at,application_year,applicant_type,country,curriculum,grade_band,gpa,sat,act,toefl_ielts,course_rigor,primary_major,secondary_major,ap_ib_alevel_courses,activities,research_experience,awards,leadership,admitted_schools,rejected_schools,waitlisted_schools,evidence_excerpt,evidence_language,label_confidence,pii_removed,consent_or_license,review_status,reviewer_notes
"TN-HAR-001","bing","other","https://test-ninjas.com/college-profiles","2026-09-24","2026","high_school","","","high_school","4","","36","","","undecided humanities","English; History; Anthropology; Political science","","Competition club president; varsity captain; four-year member; T10 national team finishes; food-service job since grade 11","","","Competition club president; varsity captain","University of North Carolina at Chapel Hill; Yale University; Amherst College; University of Edinburgh; Durham University; University College London; University of St Andrews; Carleton College; Colgate University; Vassar College; University of Southern California; University of California, Los Angeles; Princeton University","Harvard University","","Anonymous 2026 profile lists Harvard as rejected with ACT 36 and GPA 4.0; activities include competition leadership and sustained service work.","en","high","true","public_self_report","verified","Public anonymized preview; selected-school outcome is Harvard rejection; no name or demographic fields retained."
"TN-HAR-002","bing","other","https://test-ninjas.com/college-profiles","2026-09-24","2026","high_school","","","high_school","4","1500","35","","","Astrophysics","Economics","","Science Olympiad varsity leader; state medals across three years; Math Team founding and leading member","","Science Olympiad state medals; regional math awards","Science Olympiad leader; Math Team founder/leader","Brown University; University of Southern California; University of Illinois Urbana-Champaign; University of Wisconsin-Madison; University of Maryland, College Park; University of Minnesota Twin Cities; University of Colorado Boulder; University of Pittsburgh; University of Washington","Harvard University","","Anonymous 2026 profile lists Harvard as rejected with SAT 1500, ACT 35, GPA 4.0, and sustained Science Olympiad and math leadership.","en","high","true","public_self_report","verified","Public anonymized preview; no name or demographic fields retained."
"TN-HAR-003","bing","other","https://test-ninjas.com/college-profiles","2026-09-24","2026","high_school","","","high_school","3.6","1460","33","","","Linguistics","Computer Science","","Primary caregiver for siblings about 40 hours/week; translated medical, legal, and family communications about 14 hours/week","","","Family caregiving; translation support","University of Virginia; Case Western Reserve University; Middlebury College; Macalester College; American University; DePauw University; Centre College; George Mason University; William & Mary","Harvard University","","Anonymous 2026 profile lists Harvard as rejected with SAT 1460, ACT 33, GPA 3.6, and substantial family-care and translation responsibilities.","en","high","true","public_self_report","verified","Public anonymized preview; responsibilities are kept broad and no family identities are retained."
"TN-HAR-004","bing","other","https://test-ninjas.com/college-profiles","2026-09-24","2026","high_school","","","high_school","4","","34","","","Political science","Pre-law; Government","","Founded and led a Justice and Law club; organized courthouse tours, service events, case studies, and mock trials; authored a bilingual children's book on immigration and perseverance","","","Justice and Law club founder/president; children's-book creative director","Stanford University; Yale University; Brown University; Cornell University; Duke University; University of Pennsylvania; Rice University; University of North Carolina at Chapel Hill; University of Virginia; University of Southern California; University of California, Berkeley; Georgetown University; University of Michigan","Harvard University","","Anonymous 2026 profile lists Harvard as deferred then rejected with ACT 34 and GPA 4.0; leadership includes justice advocacy and bilingual publishing.","en","high","true","public_self_report","verified","Public anonymized preview; Harvard outcome normalized to rejected because the page states deferred then rejected."
"TN-HAR-005","bing","other","https://test-ninjas.com/college-profiles","2026-09-24","2026","high_school","","","high_school","4","1570","","","","Computer Science","","","Co-founded and led a school computer-science club; hosted a university hackathon; vice president and founding member of FIRST robotics","","","Computer-science club co-founder/president; FIRST robotics founder/VP","Duke University; Lehigh University; University of Notre Dame; Pennsylvania State University; University of Pittsburgh; Purdue University; Rensselaer Polytechnic Institute; Stony Brook University; University of Illinois Urbana-Champaign; University of Maryland, College Park; University of Michigan; University of Waterloo","Harvard University","","Anonymous 2026 profile lists Harvard as rejected with SAT 1570 and GPA 4.0; activities show sustained computing and robotics leadership.","en","high","true","public_self_report","verified","Public anonymized preview; no name or demographic fields retained."
"TN-HAR-006","bing","other","https://test-ninjas.com/college-profiles","2026-09-24","2026","high_school","","","high_school","4","","35","","","Public policy","Urban studies; Sociology; International/global affairs; Music performance","","Church youth president, service, and chorister; local orchestra, chamber, and choir section leader and mentor","","","Youth president; ensemble section leader/mentor","Duke University; Northwestern University; Carnegie Mellon University; Boston University; Tulane University; Denison University; Macalester College; Florida State University; University of Tennessee, Knoxville; University of South Carolina; University of North Texas","","Harvard University","Anonymous 2026 profile lists Harvard as waitlisted with ACT 35 and GPA 4.0; activities combine community service, music, and mentoring.","en","high","true","public_self_report","verified","Public anonymized preview; no name or demographic fields retained."
"TN-HAR-007","bing","other","https://test-ninjas.com/college-profiles","2026-09-24","2026","high_school","","","high_school","4.48","1520","","","","History","Pre-law; Academia","","President and co-founder of an art club with fundraising; independent writer and artist submitting to literary magazines and anthologies","","","Art club president/co-founder","University of Virginia; Virginia Commonwealth University; Rutgers University; University of Pittsburgh; University of Maryland; George Mason University; University of Rochester; Virginia Tech; University of Richmond; William & Mary; Amherst College; Princeton University; Stanford University; Brown University","Harvard University","","Anonymous 2026 profile lists Harvard as rejected with SAT 1520 and GPA 4.48; activities include art-club leadership and long-term writing.","en","high","true","public_self_report","verified","Public anonymized preview; no name or demographic fields retained."
"TN-HAR-008","bing","other","https://test-ninjas.com/college-profiles","2026-09-24","2026","high_school","","","high_school","4","1500","","","","Political science","Government; Public policy","","U.S. Senate campaign volunteer intern managing voter and volunteer data; paid environmental-engineering intern doing compliance analysis and atmospheric modeling","","","Campaign and environmental-engineering internships","Colorado State University; University of Colorado Denver; University of Colorado Boulder; University of Denver; McGill University; University of Washington, Seattle; Cornell University","Harvard University","","Anonymous 2026 profile lists Harvard as rejected with SAT 1500 and GPA 4.0; activities combine civic work and technical internship experience.","en","high","true","public_self_report","verified","Public anonymized preview; no name or demographic fields retained."
"SP-001","google","news","https://socratespost.com/feature/top-applicant-rejected-from-colleges/","2026-09-24","","high_school","United States","","high_school","3.95","1550","","","","Business","","","Founded a school accounting club; directed 30 plays; sang in school choir","","","Accounting-club founder; theater director","University of Texas at Austin; Arizona State University","University of Southern California; Stanford University; University of Pennsylvania; Cornell University; Harvard University; Yale University; Brown University; University of California, Berkeley; Northwestern University","Rice University","Public article describes a Texas applicant with 3.95 unweighted GPA and SAT 1550; admitted to UT Austin and Arizona State, waitlisted at Rice, and rejected by several selective schools.","en","high","true","public_self_report","verified","Public journalistic case; applicant name and health details removed; outcomes retained only where explicitly stated."
"SP-002","google","news","https://socratespost.com/interviews/harvard-interview-new-mexico-law/","2026-09-24","","international","Ecuador","AP/bilingual","high_school","4.0 UW; 4.95 W","1530","","","","Environmental engineering","Public policy","AP Calculus AB; AP Calculus BC; AP U.S. Government and Politics; bilingual seal program","University environmental-engineering internship; research group studying mine-waste effects on Navajo Nation soils; co-drafted and helped pass city and state hair-discrimination law; Youth in Government; drafted model bill","Navajo environmental research group","","Class salutatorian; statewide policy co-drafter; Youth in Government participant","Harvard University","Yale University; Cornell University","","Public interview states 4.0 unweighted/4.95 weighted GPA, 1530 SAT not submitted to Harvard, AP coursework, environmental research, and lawmaking; Harvard admit, Yale and Cornell deny.","en","high","true","public_self_report","verified","Public interview; name, school name, and direct identifiers removed; applicant described as an Ecuadorian immigrant considered international during applications."
